Frequency (Hz),FFT Magnitude (dB)
125.73,-75.606
125.98,-75.861
126.22,-75.371
126.46,-74.078
126.71,-75.082
126.95,-76.595
127.20,-76.391
127.44,-75.958
127.69,-70.545
127.93,-65.442
128.17,-73.416
128.42,-72.212
128.66,-77.147
128.91,-74.713
129.15,-74.288
129.39,-74.070
129.64,-75.823
129.88,-73.942
130.13,-74.133
130.37,-74.218
130.62,-72.018
130.86,-73.342
131.10,-72.238
131.35,-70.770
131.59,-72.444
131.84,-71.380
132.08,-69.915
132.32,-68.821
132.57,-66.510
132.81,-62.622
133.06,-46.273
133.30,-58.231
133.54,-56.328
133.79,-63.166
134.03,-68.496
134.28,-70.805
134.52,-72.562
134.77,-72.484
135.01,-73.728
135.25,-74.708
135.50,-75.102
135.74,-76.221
135.99,-75.597
136.23,-75.879
136.47,-74.090
136.72,-76.318
136.96,-73.605
137.21,-74.540
137.45,-74.433
137.70,-73.972
137.94,-73.457
138.18,-74.620
138.43,-74.506
138.67,-71.195
138.92,-73.012
139.16,-72.330
139.40,-72.585
139.65,-74.182
139.89,-74.680
140.14,-73.490
140.38,-71.461
140.62,-72.584
140.87,-71.439
141.11,-74.277
141.36,-71.587
141.60,-75.200
141.85,-72.106
142.09,-73.660
142.33,-74.034
142.58,-74.432
142.82,-74.858
143.07,-73.643
143.31,-74.475
143.55,-75.084
143.80,-72.632
144.04,-73.744
144.29,-73.532
144.53,-70.865
144.78,-71.239
145.02,-73.749
145.26,-74.282
145.51,-77.404
145.75,-72.388
146.00,-73.240
146.24,-71.536
146.48,-71.330
146.73,-68.248
146.97,-72.952
147.22,-72.632
147.46,-72.213
147.71,-69.644
147.95,-70.144
148.19,-69.804
148.44,-62.346
148.68,-67.830
148.93,-69.233
149.17,-71.779
149.41,-71.979
149.66,-69.477
149.90,-70.682
150.15,-69.820
150.39,-67.851
150.63,-69.601
150.88,-68.564
151.12,-67.820
151.37,-70.186
151.61,-68.800
151.86,-68.665
152.10,-70.687
152.34,-67.953
152.59,-67.999
152.83,-70.045
153.08,-68.990
153.32,-70.289
153.56,-67.842
153.81,-69.302
154.05,-70.481
154.30,-68.332
154.54,-72.075
154.79,-69.861
155.03,-70.757
155.27,-74.230
155.52,-70.763
155.76,-70.748
156.01,-73.341
156.25,-72.589
156.49,-71.119
156.74,-72.119
156.98,-71.949
157.23,-72.606
157.47,-73.519
157.71,-75.089
157.96,-75.069
158.20,-74.623
158.45,-72.900
158.69,-73.051
158.94,-73.419
159.18,-72.993
159.42,-70.351
159.67,-59.984
159.91,-69.910
160.16,-73.397
160.40,-71.860
160.64,-74.238
160.89,-73.190
161.13,-73.503
161.38,-72.337
161.62,-74.463
161.87,-75.737
162.11,-72.939
162.35,-74.225
162.60,-72.326
162.84,-72.297
163.09,-73.301
163.33,-74.112
163.57,-71.935
163.82,-73.590
164.06,-73.175
164.31,-73.977
164.55,-72.129
164.79,-71.900
165.04,-72.885
165.28,-72.036
165.53,-73.826
165.77,-71.272
166.02,-71.231
166.26,-72.632
166.50,-73.816
166.75,-73.468
166.99,-72.122
167.24,-71.989
167.48,-73.396
167.72,-75.179
167.97,-74.569
168.21,-73.538
168.46,-74.128
168.70,-75.817
168.95,-73.556
169.19,-74.599
169.43,-76.452
169.68,-78.234
169.92,-76.075
170.17,-75.151
170.41,-77.144
170.65,-75.705
170.90,-76.087
171.14,-75.275
171.39,-73.296
171.63,-76.206
171.88,-76.041
172.12,-74.988
172.36,-76.161
172.61,-75.963
172.85,-76.478
173.10,-71.895
173.34,-73.849
173.58,-73.535
173.83,-77.699
174.07,-79.507
174.32,-78.685
174.56,-76.580
174.80,-78.029
175.05,-77.589
175.29,-79.858
175.54,-77.940
