Frequency (Hz),FFT Magnitude (dB)
345.95,-71.877
346.19,-71.561
346.44,-70.729
346.68,-69.361
346.92,-70.127
347.17,-68.598
347.41,-69.060
347.66,-69.703
347.90,-68.466
348.14,-70.597
348.39,-69.461
348.63,-68.692
348.88,-71.449
349.12,-74.340
349.37,-71.951
349.61,-70.478
349.85,-71.681
350.10,-67.771
350.34,-67.947
350.59,-68.601
350.83,-70.945
351.07,-72.217
351.32,-71.158
351.56,-70.471
351.81,-72.589
352.05,-71.513
352.29,-72.342
352.54,-68.043
352.78,-72.254
353.03,-71.663
353.27,-70.738
353.52,-73.110
353.76,-68.468
354.00,-69.425
354.25,-71.342
354.49,-69.454
354.74,-68.820
354.98,-70.661
355.22,-74.085
355.47,-73.018
355.71,-71.136
355.96,-71.384
356.20,-70.208
356.45,-72.642
356.69,-68.347
356.93,-69.470
357.18,-69.973
357.42,-70.590
357.67,-70.512
357.91,-69.751
358.15,-71.804
358.40,-69.840
358.64,-69.354
358.89,-69.400
359.13,-71.933
359.38,-70.895
359.62,-72.772
359.86,-72.819
360.11,-70.493
360.35,-71.307
360.60,-70.605
360.84,-74.615
361.08,-76.434
361.33,-72.037
361.57,-68.555
361.82,-70.950
362.06,-70.488
362.30,-72.791
362.55,-69.543
362.79,-71.070
363.04,-71.375
363.28,-72.351
363.53,-69.736
363.77,-70.421
364.01,-69.562
364.26,-74.667
364.50,-70.609
364.75,-71.035
364.99,-70.722
365.23,-71.525
365.48,-72.889
365.72,-73.884
365.97,-70.982
366.21,-72.481
366.46,-72.085
366.70,-70.769
366.94,-73.031
367.19,-72.188
367.43,-72.286
367.68,-71.027
367.92,-69.534
368.16,-73.021
368.41,-72.140
368.65,-71.171
368.90,-72.248
369.14,-74.011
369.38,-74.252
369.63,-71.816
369.87,-71.863
370.12,-71.721
370.36,-72.055
370.61,-72.847
370.85,-71.674
371.09,-71.189
371.34,-71.641
371.58,-69.999
371.83,-72.717
372.07,-72.642
372.31,-71.133
372.56,-72.303
372.80,-71.600
373.05,-74.909
373.29,-72.349
373.54,-72.152
373.78,-72.374
374.02,-71.304
374.27,-73.654
374.51,-73.820
374.76,-71.296
375.00,-70.419
375.24,-71.343
375.49,-72.180
375.73,-70.210
375.98,-68.503
376.22,-71.164
376.46,-69.959
376.71,-70.469
376.95,-71.907
