Frequency (Hz),FFT Magnitude (dB)
398.93,-81.729
399.41,-74.824
399.90,-83.997
400.39,-85.491
400.88,-86.998
401.37,-86.165
401.86,-86.662
402.34,-87.437
402.83,-90.081
403.32,-87.835
403.81,-87.832
404.30,-88.645
404.79,-87.776
405.27,-88.891
405.76,-88.420
406.25,-88.136
406.74,-88.327
407.23,-87.290
407.71,-86.947
408.20,-89.057
408.69,-88.721
409.18,-87.466
409.67,-87.087
410.16,-87.671
410.64,-87.083
411.13,-88.317
411.62,-89.376
412.11,-87.249
412.60,-86.475
413.09,-86.783
413.57,-88.853
414.06,-88.903
414.55,-88.284
415.04,-87.490
415.53,-89.355
416.02,-88.680
416.50,-88.979
416.99,-86.630
417.48,-86.681
417.97,-87.905
418.46,-87.278
418.95,-88.253
419.43,-86.329
419.92,-87.101
420.41,-85.540
420.90,-87.893
421.39,-85.511
421.88,-87.400
422.36,-88.086
422.85,-86.977
423.34,-87.384
423.83,-86.487
424.32,-85.096
424.80,-86.006
425.29,-86.567
425.78,-83.733
426.27,-84.236
426.76,-85.101
427.25,-85.475
427.73,-86.330
428.22,-85.445
428.71,-85.181
429.20,-85.715
429.69,-86.978
430.18,-86.875
430.66,-87.149
431.15,-87.020
431.64,-86.547
432.13,-86.000
432.62,-86.756
433.11,-85.527
433.59,-85.289
434.08,-84.837
434.57,-85.681
435.06,-86.162
435.55,-86.392
436.04,-85.398
436.52,-85.228
437.01,-85.737
437.50,-85.155
437.99,-85.577
438.48,-85.129
438.96,-86.393
439.45,-85.367
439.94,-85.897
440.43,-86.008
440.92,-86.591
441.41,-84.613
441.89,-85.036
442.38,-85.234
442.87,-85.877
443.36,-86.036
443.85,-85.568
444.34,-83.968
444.82,-85.961
445.31,-86.063
445.80,-87.205
446.29,-87.036
446.78,-86.919
447.27,-86.383
447.75,-86.045
448.24,-86.385
448.73,-86.992
449.22,-86.913
449.71,-87.800
450.20,-87.327
450.68,-85.280
451.17,-86.919
451.66,-84.929
452.15,-85.889
452.64,-85.900
453.12,-86.899
453.61,-87.603
454.10,-86.760
454.59,-84.797
455.08,-85.412
455.57,-84.602
456.05,-84.387
456.54,-83.195
457.03,-85.721
457.52,-84.573
458.01,-84.367
458.50,-84.828
458.98,-86.610
459.47,-85.804
459.96,-84.564
460.45,-85.046
460.94,-84.988
461.43,-84.952
461.91,-83.967
462.40,-85.429
462.89,-86.621
463.38,-86.509
463.87,-84.369
464.36,-85.591
464.84,-86.734
465.33,-87.106
465.82,-87.107
466.31,-85.309
466.80,-85.845
467.29,-86.602
467.77,-86.371
468.26,-88.674
468.75,-84.775
469.24,-84.775
469.73,-85.058
470.21,-85.713
470.70,-84.777
471.19,-84.773
471.68,-86.007
472.17,-86.298
472.66,-86.663
473.14,-87.027
473.63,-86.601
474.12,-84.467
474.61,-85.131
475.10,-82.507
475.59,-84.397
476.07,-85.194
476.56,-86.779
477.05,-86.345
477.54,-86.938
478.03,-85.599
478.52,-87.122
479.00,-85.064
479.49,-86.356
479.98,-86.061
480.47,-86.200
480.96,-85.965
481.45,-85.871
481.93,-85.204
482.42,-84.496
482.91,-85.481
483.40,-85.214
483.89,-84.411
484.38,-83.433
484.86,-83.834
485.35,-85.262
485.84,-86.534
486.33,-86.529
486.82,-86.804
487.30,-86.164
487.79,-85.817
488.28,-85.366
488.77,-86.951
489.26,-84.985
489.75,-85.486
490.23,-87.183
490.72,-85.501
491.21,-85.617
491.70,-83.803
492.19,-84.917
492.68,-86.420
