Frequency (Hz),FFT Magnitude (dB)
1000.00,-59.305
1000.98,-58.493
1001.95,-59.217
1002.93,-58.909
1003.91,-59.597
1004.88,-58.433
1005.86,-59.614
1006.84,-59.231
1007.81,-57.866
1008.79,-57.877
1009.77,-58.314
1010.74,-58.335
1011.72,-56.548
1012.70,-56.938
1013.67,-56.899
1014.65,-55.703
1015.62,-55.009
1016.60,-54.379
1017.58,-56.282
1018.55,-55.007
1019.53,-53.887
1020.51,-55.299
1021.48,-53.214
1022.46,-54.041
1023.44,-54.003
1024.41,-52.945
1025.39,-52.008
1026.37,-51.306
1027.34,-50.644
1028.32,-52.164
1029.30,-50.838
1030.27,-50.876
1031.25,-50.602
1032.23,-50.272
1033.20,-49.010
1034.18,-49.244
1035.16,-50.027
1036.13,-48.512
1037.11,-47.329
1038.09,-47.925
1039.06,-47.506
1040.04,-47.222
1041.02,-47.936
1041.99,-48.296
1042.97,-49.379
1043.95,-47.931
1044.92,-48.617
1045.90,-49.327
1046.88,-49.753
1047.85,-51.167
1048.83,-51.317
1049.80,-52.641
1050.78,-52.908
1051.76,-51.927
1052.73,-51.484
1053.71,-52.369
1054.69,-53.142
1055.66,-53.434
1056.64,-53.998
1057.62,-52.997
1058.59,-54.430
1059.57,-54.451
1060.55,-54.695
1061.52,-55.184
1062.50,-55.920
1063.48,-57.071
1064.45,-56.785
1065.43,-55.529
1066.41,-56.437
1067.38,-55.564
1068.36,-56.960
1069.34,-56.096
1070.31,-56.531
1071.29,-57.400
1072.27,-57.591
1073.24,-57.427
1074.22,-58.593
1075.20,-57.852
1076.17,-57.765
1077.15,-58.770
1078.12,-58.838
1079.10,-58.494
1080.08,-58.826
1081.05,-59.989
1082.03,-60.420
1083.01,-59.828
1083.98,-59.202
1084.96,-59.268
1085.94,-58.928
1086.91,-59.832
1087.89,-60.846
1088.87,-60.925
1089.84,-60.905
1090.82,-60.302
1091.80,-60.452
1092.77,-61.363
1093.75,-60.082
1094.73,-60.804
1095.70,-60.150
1096.68,-61.632
1097.66,-61.672
1098.63,-60.859
1099.61,-61.468
1100.59,-61.976
1101.56,-61.877
1102.54,-62.290
1103.52,-61.208
1104.49,-62.364
1105.47,-62.466
1106.45,-62.468
1107.42,-61.571
1108.40,-61.559
1109.38,-61.783
1110.35,-61.705
1111.33,-61.586
1112.30,-60.346
1113.28,-61.426
1114.26,-62.633
1115.23,-61.729
1116.21,-62.038
1117.19,-62.462
1118.16,-61.444
1119.14,-62.079
1120.12,-61.187
1121.09,-62.296
1122.07,-62.466
1123.05,-62.083
1124.02,-63.166
1125.00,-63.554
1125.98,-62.339
1126.95,-63.443
1127.93,-64.324
1128.91,-62.451
1129.88,-62.884
1130.86,-62.982
1131.84,-62.527
1132.81,-62.026
1133.79,-62.647
1134.77,-62.873
1135.74,-62.623
1136.72,-62.110
1137.70,-63.666
1138.67,-63.922
1139.65,-63.264
1140.62,-62.630
1141.60,-63.244
1142.58,-63.636
1143.55,-62.717
1144.53,-63.742
1145.51,-65.040
1146.48,-63.763
1147.46,-64.181
1148.44,-64.040
1149.41,-63.630
1150.39,-63.816
1151.37,-63.987
1152.34,-63.392
1153.32,-62.168
1154.30,-62.907
1155.27,-61.600
1156.25,-63.634
1157.23,-63.780
1158.20,-63.303
1159.18,-63.733
1160.16,-63.064
1161.13,-63.149
1162.11,-64.054
1163.09,-62.276
1164.06,-63.931
1165.04,-62.700
1166.02,-63.123
1166.99,-62.578
1167.97,-63.654
1168.95,-63.209
1169.92,-63.360
1170.90,-63.364
1171.88,-63.881
1172.85,-64.535
1173.83,-62.619
1174.80,-62.580
1175.78,-61.638
1176.76,-63.339
1177.73,-63.660
1178.71,-63.157
1179.69,-62.288
1180.66,-62.386
1181.64,-62.907
1182.62,-62.314
1183.59,-62.821
1184.57,-62.202
1185.55,-62.030
1186.52,-62.422
1187.50,-61.880
1188.48,-62.924
1189.45,-62.328
1190.43,-62.285
1191.41,-62.480
1192.38,-62.759
1193.36,-62.571
1194.34,-62.506
1195.31,-62.100
1196.29,-62.518
1197.27,-62.095
1198.24,-60.852
1199.22,-60.432
1200.20,-62.180
1201.17,-61.859
1202.15,-61.617
1203.12,-61.705
1204.10,-61.510
1205.08,-61.948
1206.05,-60.756
1207.03,-60.305
1208.01,-61.157
1208.98,-61.701
1209.96,-60.564
1210.94,-63.094
1211.91,-60.599
1212.89,-61.077
1213.87,-61.924
1214.84,-61.317
1215.82,-59.583
1216.80,-62.032
1217.77,-60.241
1218.75,-60.698
1219.73,-61.597
1220.70,-59.764
1221.68,-60.142
1222.66,-59.974
1223.63,-60.494
1224.61,-60.431
1225.59,-60.229
1226.56,-59.318
1227.54,-59.469
1228.52,-58.964
1229.49,-58.412
1230.47,-58.750
1231.45,-60.124
1232.42,-59.938
1233.40,-58.476
1234.38,-60.272
1235.35,-59.317
1236.33,-58.670
1237.30,-59.521
1238.28,-59.366
1239.26,-58.554
1240.23,-57.779
1241.21,-57.833
1242.19,-57.138
1243.16,-57.125
1244.14,-58.608
1245.12,-56.844
1246.09,-58.603
1247.07,-58.241
1248.05,-57.382
1249.02,-56.660
1250.00,-56.040
1250.98,-55.862
1251.95,-56.506
1252.93,-57.682
1253.91,-57.249
1254.88,-56.656
1255.86,-55.582
1256.84,-55.951
1257.81,-55.722
1258.79,-56.451
1259.77,-56.234
1260.74,-55.286
1261.72,-55.107
1262.70,-55.433
1263.67,-54.381
1264.65,-54.334
1265.62,-54.228
1266.60,-52.968
1267.58,-53.740
1268.55,-54.656
1269.53,-53.231
1270.51,-52.551
1271.48,-51.881
1272.46,-50.942
1273.44,-51.326
1274.41,-52.679
1275.39,-50.769
1276.37,-50.677
1277.34,-50.919
1278.32,-48.706
1279.30,-47.859
1280.27,-50.106
1281.25,-48.378
1282.23,-48.308
1283.20,-49.455
1284.18,-46.575
1285.16,-47.103
1286.13,-47.465
1287.11,-46.622
1288.09,-46.237
1289.06,-47.274
1290.04,-45.273
1291.02,-44.617
1291.99,-46.281
1292.97,-44.361
1293.95,-45.812
1294.92,-44.430
1295.90,-45.391
1296.88,-44.567
1297.85,-45.502
1298.83,-45.003
1299.80,-46.428
1300.78,-46.134
1301.76,-44.965
1302.73,-46.848
1303.71,-47.725
1304.69,-47.131
1305.66,-48.066
1306.64,-48.007
1307.62,-47.687
1308.59,-48.904
1309.57,-49.491
1310.55,-49.650
1311.52,-50.468
1312.50,-50.204
1313.48,-51.401
1314.45,-51.378
1315.43,-51.256
1316.41,-51.599
1317.38,-53.371
1318.36,-51.991
1319.34,-52.517
1320.31,-52.012
1321.29,-52.575
1322.27,-53.192
1323.24,-54.845
1324.22,-53.266
1325.20,-52.926
1326.17,-54.252
1327.15,-53.921
1328.12,-53.612
1329.10,-54.878
1330.08,-54.939
1331.05,-53.182
1332.03,-55.169
1333.01,-55.774
1333.98,-54.922
1334.96,-54.307
1335.94,-54.988
1336.91,-55.665
1337.89,-55.875
1338.87,-55.512
1339.84,-56.634
1340.82,-55.567
1341.80,-56.111
1342.77,-56.444
1343.75,-55.858
1344.73,-57.274
1345.70,-57.894
1346.68,-57.773
1347.66,-57.733
1348.63,-57.213
1349.61,-55.888
1350.59,-56.630
1351.56,-56.421
1352.54,-58.703
1353.52,-57.259
1354.49,-57.748
1355.47,-58.049
1356.45,-59.019
1357.42,-58.744
1358.40,-58.070
1359.38,-57.997
1360.35,-58.072
1361.33,-58.252
1362.30,-57.914
1363.28,-57.529
1364.26,-58.712
1365.23,-56.713
1366.21,-58.990
1367.19,-59.143
1368.16,-59.606
1369.14,-59.383
1370.12,-59.723
1371.09,-58.701
1372.07,-58.776
1373.05,-58.214
1374.02,-58.710
1375.00,-59.593
1375.98,-59.369
1376.95,-59.499
1377.93,-58.347
1378.91,-59.836
1379.88,-59.677
1380.86,-58.764
1381.84,-59.189
1382.81,-59.141
1383.79,-59.484
1384.77,-59.552
1385.74,-60.422
1386.72,-59.490
1387.70,-58.708
1388.67,-58.631
1389.65,-59.458
1390.62,-58.967
1391.60,-59.048
1392.58,-59.674
1393.55,-58.053
1394.53,-59.071
1395.51,-59.336
1396.48,-58.460
1397.46,-58.904
1398.44,-58.290
1399.41,-59.767
1400.39,-58.355
1401.37,-58.877
1402.34,-58.803
1403.32,-59.412
1404.30,-57.894
1405.27,-57.870
1406.25,-58.735
1407.23,-58.353
1408.20,-59.540
1409.18,-60.978
1410.16,-58.547
1411.13,-59.845
1412.11,-58.827
1413.09,-59.582
1414.06,-59.838
1415.04,-59.927
1416.02,-58.914
1416.99,-58.230
1417.97,-59.228
1418.95,-58.772
1419.92,-59.641
1420.90,-58.741
1421.88,-58.660
1422.85,-58.172
1423.83,-59.054
1424.80,-58.347
1425.78,-58.610
1426.76,-59.799
1427.73,-58.694
1428.71,-59.663
1429.69,-57.973
1430.66,-59.961
1431.64,-59.309
1432.62,-58.634
1433.59,-59.252
1434.57,-59.253
1435.55,-59.136
1436.52,-58.944
1437.50,-59.181
1438.48,-58.937
1439.45,-58.830
1440.43,-59.393
1441.41,-59.423
1442.38,-57.552
1443.36,-58.548
1444.34,-58.979
1445.31,-57.901
1446.29,-58.409
1447.27,-59.932
1448.24,-59.113
1449.22,-58.631
1450.20,-57.665
1451.17,-57.966
1452.15,-59.709
1453.12,-57.926
1454.10,-58.125
1455.08,-57.664
1456.05,-57.933
1457.03,-57.920
1458.01,-58.066
1458.98,-57.348
