Frequency (Hz),FFT Magnitude (dB)
150.15,-69.234
150.39,-70.223
150.63,-72.019
150.88,-69.024
151.12,-69.482
151.37,-68.346
151.61,-69.856
151.86,-70.169
152.10,-69.380
152.34,-69.680
152.59,-68.002
152.83,-71.572
153.08,-69.273
153.32,-70.186
153.56,-71.520
153.81,-72.685
154.05,-68.374
154.30,-72.414
154.54,-70.135
154.79,-69.710
155.03,-70.829
155.27,-69.757
155.52,-71.721
155.76,-72.734
156.01,-74.255
156.25,-74.033
156.49,-75.455
156.74,-72.937
156.98,-74.270
157.23,-75.716
157.47,-74.212
157.71,-73.479
157.96,-71.968
158.20,-72.942
158.45,-74.820
158.69,-77.128
158.94,-73.258
159.18,-72.096
159.42,-70.679
159.67,-60.910
159.91,-67.921
160.16,-70.438
160.40,-73.996
160.64,-74.646
160.89,-73.706
161.13,-73.978
161.38,-75.895
161.62,-73.466
161.87,-73.881
162.11,-73.364
162.35,-73.995
162.60,-73.460
162.84,-74.017
163.09,-74.588
163.33,-72.531
163.57,-74.265
163.82,-72.190
164.06,-71.340
164.31,-75.057
164.55,-73.220
164.79,-75.285
165.04,-74.518
165.28,-72.313
165.53,-76.321
165.77,-75.121
166.02,-73.387
166.26,-73.698
166.50,-74.468
166.75,-73.305
166.99,-73.547
167.24,-75.412
167.48,-75.741
167.72,-77.327
167.97,-75.020
168.21,-75.031
168.46,-74.330
168.70,-74.876
168.95,-77.835
169.19,-74.703
169.43,-73.923
169.68,-77.326
169.92,-76.060
170.17,-76.505
170.41,-76.819
170.65,-75.356
170.90,-76.106
171.14,-73.911
171.39,-74.397
171.63,-75.854
171.88,-77.565
172.12,-77.533
172.36,-77.118
172.61,-77.796
172.85,-75.673
173.10,-74.974
173.34,-73.361
173.58,-76.132
173.83,-75.916
174.07,-76.281
174.32,-80.156
174.56,-77.595
174.80,-76.729
175.05,-77.468
175.29,-76.060
175.54,-78.489
175.78,-76.699
176.03,-78.361
176.27,-77.926
176.51,-78.455
176.76,-78.546
177.00,-75.567
177.25,-75.111
177.49,-76.631
177.73,-74.222
177.98,-76.572
178.22,-75.980
178.47,-76.825
178.71,-75.426
178.96,-76.596
179.20,-79.677
179.44,-77.536
179.69,-77.119
179.93,-77.843
180.18,-75.810
180.42,-78.054
180.66,-77.992
180.91,-78.607
181.15,-79.872
181.40,-76.752
181.64,-77.277
181.88,-78.373
182.13,-77.295
182.37,-75.609
182.62,-76.830
182.86,-75.757
183.11,-78.414
183.35,-78.609
183.59,-79.368
183.84,-78.823
184.08,-79.676
184.33,-78.641
184.57,-76.519
184.81,-77.052
185.06,-79.707
185.30,-78.996
185.55,-74.799
185.79,-74.970
186.04,-74.065
186.28,-72.397
186.52,-75.439
186.77,-69.627
187.01,-76.156
187.26,-74.570
187.50,-75.717
187.74,-76.996
187.99,-77.843
188.23,-77.415
188.48,-77.643
188.72,-76.773
188.96,-75.262
189.21,-75.603
189.45,-80.717
189.70,-77.176
189.94,-76.390
190.19,-77.420
190.43,-77.594
190.67,-77.420
190.92,-77.937
191.16,-76.991
191.41,-75.841
191.65,-76.491
191.89,-77.427
192.14,-80.094
192.38,-76.758
192.63,-78.812
192.87,-77.220
193.12,-79.756
193.36,-80.574
193.60,-79.615
193.85,-78.516
194.09,-79.236
194.34,-77.308
194.58,-79.509
194.82,-81.350
195.07,-81.072
195.31,-81.321
195.56,-81.084
195.80,-78.035
196.04,-79.544
196.29,-77.608
196.53,-79.593
196.78,-79.666
197.02,-79.888
197.27,-77.009
197.51,-79.930
197.75,-79.943
198.00,-78.796
198.24,-76.867
198.49,-81.673
198.73,-78.947
198.97,-81.030
199.22,-79.933
199.46,-83.059
199.71,-78.123
199.95,-74.841
200.20,-78.957
200.44,-79.626
200.68,-80.087
200.93,-79.764
201.17,-80.637
201.42,-81.660
201.66,-81.029
201.90,-80.768
202.15,-80.350
202.39,-83.301
202.64,-80.536
202.88,-80.735
203.12,-81.500
203.37,-81.121
203.61,-79.442
203.86,-79.003
204.10,-79.882
204.35,-78.645
204.59,-77.432
204.83,-79.313
205.08,-80.823
205.32,-78.396
205.57,-79.202
205.81,-78.703
206.05,-78.543
206.30,-78.841
206.54,-79.943
206.79,-79.736
207.03,-78.629
207.28,-78.896
207.52,-75.013
207.76,-68.332
208.01,-64.973
208.25,-74.857
208.50,-77.108
208.74,-80.522
208.98,-78.769
209.23,-78.570
209.47,-79.060
209.72,-81.035
209.96,-81.642
210.21,-80.261
210.45,-81.898
210.69,-80.281
210.94,-77.296
211.18,-80.911
211.43,-81.067
211.67,-77.329
211.91,-77.426
212.16,-79.589
212.40,-78.638
212.65,-79.644
212.89,-78.105
213.13,-79.125
213.38,-75.759
213.62,-78.498
213.87,-80.093
214.11,-80.024
214.36,-78.224
214.60,-77.074
214.84,-79.557
215.09,-78.150
215.33,-78.237
215.58,-80.448
215.82,-82.562
216.06,-80.550
216.31,-82.886
216.55,-79.941
216.80,-80.829
217.04,-80.600
217.29,-82.692
217.53,-81.975
217.77,-80.924
218.02,-82.662
218.26,-82.276
218.51,-83.513
218.75,-81.647
218.99,-81.853
219.24,-82.637
219.48,-82.649
219.73,-80.893
219.97,-80.179
220.21,-80.015
220.46,-79.042
220.70,-79.301
220.95,-79.610
221.19,-79.745
221.44,-82.084
221.68,-79.324
221.92,-79.952
222.17,-77.565
222.41,-81.261
222.66,-80.471
222.90,-81.376
223.14,-82.607
223.39,-79.494
223.63,-79.426
223.88,-79.998
224.12,-78.680
224.37,-77.658
224.61,-80.163
